OBJECTID,LOCNUM,SALESVOL,X,Y
88,230025140,34725,-122.29479999999995,47.159600000000054
89,578134462,744,-122.60819999999995,47.36040000000004
90,251528527,64490,-122.30849999999997,47.31240000000005
91,257783894,24803,-122.20339999999996,47.36650000000007
92,409748795,37205,-122.36869999999999,47.522000000000034
93,457712743,34725,-122.25829999999998,47.45510000000007
94,653372722,17362,-122.19989999999997,47.496200000000066
95,253020507,37205,-122.17209999999994,47.172100000000086
96,422149709,37205,-122.33859999999999,47.60850000000006
97,571269091,2232,-122.3253999999999,47.70890000000001
98,804653699,49607,-122.26679999999996,47.83250000000001
99,230022238,37205,-122.2268,47.910000000000046
100,804476950,46135,-122.17359999999996,47.57410000000008
101,928448687,44647,-122.0501,47.544300000000106
102,928448703,49607,-122.10349999999993,47.67230000000007
103,434145621,37205,-122.15489999999991,47.75760000000011
104,590505178,62009,-122.10129999999998,47.9984000000001
105,637353145,37205,-122.19179999999994,48.149000000000086
106,464816263,32245,-122.33899999999996,48.46540000000008
107,230020273,47127,-122.48780000000002,48.784200000000055
108,404477822,59158,-117.08049999999996,32.604500000000094
109,404463491,35495,-117.06719999999999,32.654400000000166
110,173283458,1183,-117.20939999999997,32.752200000000144
111,173305285,35495,-117.17929999999997,32.82020000000008
112,717029157,35495,-117.12909999999997,32.72700000000002
113,404461999,35495,-117.15049999999998,32.766800000000025
114,003607702,35495,-117.15109999999996,32.81650000000014
115,502508997,35495,-117.14599999999992,32.911100000000076
116,404462002,59158,-117.26249999999995,33.06530000000005
117,404469735,47327,-117.06219999999999,32.980800000000116
118,425508242,35495,-117.06589999999994,33.069600000000044
119,404469755,70990,-116.96759999999995,32.65040000000005
120,404471998,47327,-117.05209999999992,32.74320000000012
121,712425092,35495,-117.03999999999996,32.77310000000002
122,404895914,70990,-117.01099999999992,32.779700000000076
123,503107567,47327,-116.95939999999995,32.80970000000014
124,404474094,35495,-116.93889999999998,32.73860000000012
125,404462014,35495,-116.98109999999993,32.83880000000006
126,256082447,54426,-115.56980000000001,32.81460000000009
127,406693624,35495,-120.68639999999996,35.251400000000054
128,404465230,35495,-120.43369999999996,34.92270000000009
129,404476102,70990,-118.93449999999996,34.19090000000012
130,436742420,35495,-118.79429999999996,34.1497000000001
131,404465217,35495,-118.34579999999993,33.825100000000084
132,404462000,89921,-118.39479999999996,33.888400000000104
133,712961891,35495,-118.39299999999997,33.91860000000001
134,404467424,1656,-118.35749999999994,33.86870000000003
135,421527862,39518,-118.62339999999993,34.19040000000007
136,404467422,1419,-118.58509999999994,34.167200000000044
137,404459481,70990,-118.60399999999998,34.191200000000045
138,719405482,35495,-118.39569999999998,33.98540000000007
139,404463482,94654,-118.39499999999998,34.0008
140,404460844,35495,-118.37349999999996,34.02280000000006
141,404465219,70990,-118.4662,34.17450000000004
142,422149712,35495,-118.44359999999995,34.06310000000009
143,427190287,35495,-118.37559999999996,34.07520000000013
144,255829236,118317,-118.34419999999999,34.09070000000006
145,404467418,59158,-118.37139999999998,34.18820000000003
146,404476101,59158,-119.23659999999995,34.261700000000104
147,404476106,35495,-119.24729999999994,34.27040000000002
148,406693633,35495,-119.17869999999996,34.24290000000004
149,404467429,56555,-119.07269999999991,34.217300000000144
150,404460090,1656,-118.86749999999995,34.278700000000065
151,403127615,35495,-118.79759999999999,34.273000000000025
152,404474070,47327,-118.73979999999993,34.28070000000006
153,404474088,47090,-118.56069999999993,34.23100000000005
154,404459116,76906,-118.56149999999992,34.4195000000001
155,404471981,35495,-118.5035,34.234600000000086
156,404474098,42594,-118.45929999999998,34.212700000000034
157,230024267,35495,-118.50219999999995,34.272600000000054
158,404460088,47327,-118.4188,34.24490000000003
159,404460854,35495,-118.46360000000001,34.3935000000001
160,404474087,1419,-120.69849999999997,35.584000000000096
161,666990346,59158,-121.65279999999991,36.71460000000005
162,666989173,35495,-121.38959999999997,36.8354000000001
163,244875159,35495,-121.54899999999998,36.99980000000007
164,647444546,35495,-121.64979999999996,37.154900000000055
165,676682255,35495,-120.87589999999996,37.05670000000009
166,417017187,35495,-120.60999999999993,37.342600000000054
167,487479644,37388,-120.48679999999995,37.323000000000064
168,256737339,35495,-119.67569999999992,36.32380000000005
169,719636805,35495,-119.31139999999996,36.22590000000005
170,252885298,35495,-119.31369999999995,36.29160000000014
171,719384026,35495,-119.12379999999996,35.34900000000006
172,401569548,35495,-119.10329999999999,35.385000000000026
173,403525810,35495,-119.03529999999989,35.33930000000003
