OBJECTID,LOCNUM,SALESVOL,SHAPE
913,402304171,31741,"{""y"": 36.33180000000005, ""x"": -86.62659999999994}"
914,899293914,21161,"{""y"": 36.58990000000016, ""x"": -87.29239999999997}"
915,903878056,24648,"{""y"": 36.950500000000034, ""x"": -86.43769999999994}"
916,563460088,63483,"{""y"": 35.90210000000008, ""x"": -84.15209999999995}"
917,637806357,25965,"{""y"": 33.632800000000024, ""x"": -84.01599999999998}"
918,609009659,32457,"{""y"": 33.875500000000045, ""x"": -84.01349999999998}"
919,609009600,32457,"{""y"": 33.97070000000007, ""x"": -84.01829999999995}"
920,542522768,32457,"{""y"": 34.07000000000007, ""x"": -83.98229999999995}"
921,659126007,32457,"{""y"": 34.18050000000008, ""x"": -83.91019999999993}"
922,694262767,32457,"{""y"": 33.94340000000007, ""x"": -83.75459999999998}"
923,236802088,32457,"{""y"": 33.94410000000009, ""x"": -83.43879999999993}"
924,985497254,21638,"{""y"": 34.29020000000002, ""x"": -83.84629999999997}"
925,566042297,1025,"{""y"": 34.54990000000005, ""x"": -82.67939999999997}"
926,438188797,32457,"{""y"": 33.49030000000006, ""x"": -82.08119999999992}"
927,610191959,43276,"{""y"": 33.526600000000094, ""x"": -82.11879999999994}"
928,575694468,27691,"{""y"": 33.506900000000094, ""x"": -81.71039999999991}"
929,667508964,32819,"{""y"": 34.006600000000105, ""x"": -81.1940999999999}"
930,000057901,35896,"{""y"": 34.06650000000012, ""x"": -81.16529999999996}"
931,404732998,30768,"{""y"": 33.982700000000094, ""x"": -80.96589999999999}"
932,000057869,29743,"{""y"": 34.12040000000015, ""x"": -80.87749999999997}"
933,257871624,30768,"{""y"": 34.70580000000013, ""x"": -82.25949999999993}"
934,522853274,41024,"{""y"": 34.83050000000005, ""x"": -82.30829999999995}"
935,402047205,30768,"{""y"": 34.93740000000006, ""x"": -82.27869999999999}"
936,590699641,27691,"{""y"": 34.934100000000086, ""x"": -82.00859999999996}"
937,415476429,32240,"{""y"": 35.26300000000005, ""x"": -81.13359999999996}"
938,228540795,30768,"{""y"": 34.93880000000012, ""x"": -80.97879999999998}"
939,637377367,32240,"{""y"": 34.999200000000094, ""x"": -80.69589999999995}"
940,396638934,1289,"{""y"": 35.099200000000025, ""x"": -80.9881}"
941,988468112,54378,"{""y"": 35.107100000000045, ""x"": -80.88129999999997}"
942,613346311,2149,"{""y"": 35.03520000000004, ""x"": -80.8049}"
943,928364660,64480,"{""y"": 35.06070000000006, ""x"": -80.81349999999996}"
944,000057877,51584,"{""y"": 35.124100000000034, ""x"": -80.70809999999994}"
945,653372284,32240,"{""y"": 35.21460000000011, ""x"": -80.8344999999999}"
946,403570297,1074,"{""y"": 35.21100000000006, ""x"": -80.69559999999993}"
947,562329169,31741,"{""y"": 35.75240000000009, ""x"": -83.9915999999999}"
948,423471274,31741,"{""y"": 35.86120000000011, ""x"": -84.07839999999999}"
949,008817041,52903,"{""y"": 35.921800000000104, ""x"": -84.04789999999994}"
950,512990284,20103,"{""y"": 36.00840000000007, ""x"": -84.02179999999996}"
951,622000610,21161,"{""y"": 36.03640000000005, ""x"": -83.8851999999999}"
952,609335773,32240,"{""y"": 35.44860000000004, ""x"": -82.5365}"
953,252717871,32240,"{""y"": 35.572300000000105, ""x"": -82.51989999999994}"
954,904141538,23277,"{""y"": 36.342900000000036, ""x"": -82.37369999999999}"
955,652370958,31741,"{""y"": 36.550100000000064, ""x"": -82.49329999999999}"
956,539223586,1504,"{""y"": 35.700900000000104, ""x"": -81.30799999999992}"
957,718702095,42986,"{""y"": 35.34880000000008, ""x"": -80.85749999999996}"
958,000386441,40837,"{""y"": 35.29310000000007, ""x"": -80.74569999999996}"
959,948158316,37613,"{""y"": 35.44310000000009, ""x"": -80.86179999999997}"
960,637377052,1289,"{""y"": 35.41670000000005, ""x"": -80.67869999999994}"
961,243189669,49434,"{""y"": 35.595600000000076, ""x"": -80.87229999999995}"
962,667525976,32138,"{""y"": 36.63650000000009, ""x"": -82.11069999999994}"
963,990131682,45186,"{""y"": 25.57630000000004, ""x"": -80.37499999999993}"
964,928631647,45186,"{""y"": 25.6856000000001, ""x"": -80.43779999999998}"
965,436961105,33889,"{""y"": 25.7689000000001, ""x"": -80.36019999999999}"
966,434072312,33889,"{""y"": 25.672500000000145, ""x"": -80.32259999999998}"
967,928621804,67779,"{""y"": 25.692900000000073, ""x"": -80.30549999999994}"
968,210311841,36149,"{""y"": 25.73320000000007, ""x"": -80.32099999999998}"
969,649682309,33889,"{""y"": 25.85380000000006, ""x"": -80.31769999999996}"
